,from,to,value,from_id,to_id
95,情報,賃貸,0.03777177435166696,61,5
96,情報,住宅,0.034041080317939454,61,52
97,情報,不動産,0.026999419647512766,61,103
98,情報,物件,0.026380753568372977,61,106
99,校友,会,0.055522763513282336,41,208
100,校友,学会,0.04927488312811626,41,180
101,校友,支部,0.04088562084334039,41,38
102,校友,卒業生,0.03484449475036924,41,88
103,校友,会員,0.029963399593678903,41,50
104,発信,電話,0.040392441132917706,116,22
105,発信,魅力,0.040059655065567044,116,188
106,発信,情報,0.03297464598072763,116,61
107,発信,番号,0.028219085819940468,116,59
108,発信,月,0.019162136897452144,116,170
109,早稲田,大学,0.06268053881743803,62,63
110,早稲田,模試,0.04257494575982974,62,82
111,早稲田,アカデミー,0.04152125492470247,62,26
112,早稲田,校舎,0.04067488231345292,62,91
113,早稲田,設置,0.04018930132234394,62,14
114,消費,生活,0.1307886082524387,86,212
115,消費,センター,0.11667478312522968,86,204
116,消費,相談,0.10945242509185589,86,75
117,消費,曜日,0.07723829893558475,86,29
118,消費,受付,0.07393066931464189,86,55
119,生活協同組合,ポータルサイト,0.0485270749462566,47,67
120,生活協同組合,定款,0.0469366709577707,47,12
121,生活協同組合,個人,0.04589724190284295,47,15
122,生活協同組合,方針,0.0456425644320129,47,168
123,生活協同組合,保護,0.04532914450994305,47,191
124,研究,技術,0.02919527098939601,33,153
125,研究,科学,0.0287381163563198,33,207
126,研究,環境,0.024854208071728154,33,178
127,研究,月,0.023916443059064485,33,170
128,研究,開発,0.02286971543641064,33,109
129,キャンパス,大学,0.04033032086156267,124,63
130,キャンパス,オープン,0.03744246980626946,124,39
131,キャンパス,学生,0.03565107187089274,124,209
132,キャンパス,学科,0.03421681015773716,124,53
133,キャンパス,情報,0.029226146287348664,124,61
134,科学,研究,0.06452453302368862,207,33
135,科学,技術,0.06257641024421685,207,153
136,科学,月,0.02238486757286129,207,170
137,科学,財団,0.020391518440160947,207,137
138,科学,社会,0.019404388940118766,207,80
139,環境,対策,0.03423765829966546,178,79
140,環境,保全,0.03372141077086554,178,185
141,環境,地球,0.027326790501367732,178,213
142,環境,月,0.02715745963457617,178,170
143,環境,活動,0.025057928539775905,178,195
144,学科,教育,0.04323578454537043,53,83
145,学科,社会,0.041646782112048766,53,80
146,学科,専門,0.0321360357270796,53,74
147,学科,福祉,0.030243113859242922,53,28
148,学科,紹介,0.02881419234736272,53,171
149,アリーナ,中古,0.053821462775703675,7,118
150,アリーナ,スポーツ,0.042424422370724864,7,155
151,アリーナ,イベント,0.03899164356455705,7,199
152,アリーナ,横浜,0.035701353305389594,7,21
153,アリーナ,施設,0.03368385232988913,7,43
154,ウォーカープラス,イベント,0.12957458687029014,60,199
155,ウォーカープラス,ニュース,0.09209795954941963,60,102
156,ウォーカープラス,情報,0.07107810350986571,60,61
157,ウォーカープラス,おすすめ,0.06783693179866153,60,151
158,試合,チケット,0.05149806201601732,85,152
159,試合,月,0.04799606223892807,85,170
160,試合,日程,0.04782252193789577,85,119
161,試合,選手,0.046795193948829784,85,139
162,試合,情報,0.0400232466095598,85,61
163,土,商品,0.06387282600138111,84,181
164,土,配送,0.05965584078808383,84,173
165,土,アマゾン,0.0367665171052157,84,11
166,土,培養,0.03064914125591584,84,187
167,土,急ぎ,0.029563008381035035,84,98
168,在,月,0.048659009025418955,127,170
169,在,日,0.0410796315141754,127,25
170,在,日本,0.029896443594273403,127,121
171,在,大分,0.02646175181851553,127,112
172,在,賃貸,0.023829944343708057,127,5
173,花粉,気象,0.16171402270533305,108,132
174,花粉,予測,0.16075518430699143,108,192
175,花粉,メッシュ,0.08322968129535034,108,23
